source,target,dist,street_name
13228001339,13228001338,4.02,Unnamed road
5101576417,5101576416,1.27,Unnamed road
5101576417,5101576418,16.09,Unnamed road
13158318967,13158318970,5.78,Oud-Heverleestraat
13158318967,13158318971,3.02,Oud-Heverleestraat
13158318968,13158318971,2.29,Oud-Heverleestraat
13158318968,13158318969,5.45,Oud-Heverleestraat
13158318969,13158318968,5.45,Oud-Heverleestraat
13158318969,1470721934,6.94,Oud-Heverleestraat
13158318970,5445812897,4.66,Oud-Heverleestraat
13158318970,13158318967,5.78,Oud-Heverleestraat
13158318971,13158318967,3.02,Oud-Heverleestraat
13158318971,13158318968,2.29,Oud-Heverleestraat
13228001342,13228001341,1.99,Unnamed road
13228001342,2095980041,3.32,Unnamed road
13158318977,13158318980,6.03,Oud-Heverleestraat
13158318977,13158318981,2.71,Oud-Heverleestraat
13158318978,13158318981,2.7,Oud-Heverleestraat
13158318978,13158318979,6.2,Oud-Heverleestraat
13158318979,13158318978,6.2,Oud-Heverleestraat
13158318979,203289138,21.69,Oud-Heverleestraat
13158318980,1470720297,3.05,Oud-Heverleestraat
13158318980,13158318977,6.03,Oud-Heverleestraat
13158318981,13158318977,2.71,Oud-Heverleestraat
13158318981,13158318978,2.7,Oud-Heverleestraat
11645485955,2933370089,7.24,Riddersstraat
13158318987,13158318990,5.69,Oud-Heverleestraat
13158318987,13158318991,2.49,Oud-Heverleestraat
13158318988,13158318991,2.49,Oud-Heverleestraat
13158318988,13158318989,5.6,Oud-Heverleestraat
13158318989,13158318988,5.6,Oud-Heverleestraat
13158318989,1470720024,6.74,Oud-Heverleestraat
13158318990,203289138,12.6,Oud-Heverleestraat
13158318990,13158318987,5.69,Oud-Heverleestraat
13158318991,13158318987,2.49,Oud-Heverleestraat
13158318991,13158318988,2.49,Oud-Heverleestraat
13149533995,13149533996,15.0,Unnamed road
13149533995,13149533994,6.82,Unnamed road
13158318997,13158319001,2.51,Oud-Heverleestraat
13158318997,13158319000,5.74,Oud-Heverleestraat
13158318998,13158318999,5.73,Oud-Heverleestraat
13158318998,13158319001,2.51,Oud-Heverleestraat
13158318999,1470720024,33.49,Oud-Heverleestraat
13158318999,13158318998,5.73,Oud-Heverleestraat
13158319000,13158318997,5.74,Oud-Heverleestraat
13158319000,17056049,56.0,Oud-Heverleestraat
13158319001,13158318998,2.51,Oud-Heverleestraat
13158319001,13158318997,2.51,Oud-Heverleestraat
